Institution,Category_Institution,Accreditation,DateEstablished,Region,Location,Province,Lecture,Student,Category_Total_Student,QS_WUR_Ranking_2024,QS_Asia_Ranking_2024,THE_WUR_Ranking_2024,Member_ASEAN_University_Network
Akademi Kebidanan Kharisma Husada Binjai,Akademi,Baik,12/22/2008,1,Binjai,Sumatera Utara,8,67,Extra Small,Unranked,Unranked,Unranked ,No
Akademi kebidanan Kholisatur Rahmi Binjai,Akademi,Baik,3/12/2002,1,Binjai,Sumatera Utara,10,77,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Kesdam I/Bukit Barisan Binjai,Akademi,Tidak Terakreditasi,12/23/2010,1,Binjai,Sumatera Utara,9,126,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Budidaya,Sekolah,Baik,12/30/1985,1,Binjai,Sumatera Utara,49,1063,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Kaputama,Sekolah,Baik Sekali,1/31/2003,1,Binjai,Sumatera Utara,29,1399,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Methodist Binjai,Sekolah,Tidak Terakreditasi,9/4/2014,1,Binjai,Sumatera Utara,19,507,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknik Deli Serdang Lubuk Pakam,Akademi,Baik,11/22/2001,1,Deli Serdang,Sumatera Utara,26,510,Extra Small,Unranked,Unranked,Unranked ,No
Institut Kesehatan Deli Husada Deli Tua,Institut,Baik Sekali,5/10/2017,1,Deli Serdang,Sumatera Utara,159,5357,Small Medium,Unranked,Unranked,Unranked ,No
Institut Kesehatan Medistra Lubuk Pakam,Institut,Baik Sekali,6/2/2017,1,Deli Serdang,Sumatera Utara,169,5084,Small Medium,Unranked,Unranked,Unranked ,No
Institut Modern Arsitektur dan Teknologi,Institut,Tidak Terakreditasi,6/17/2021,1,Deli Serdang,Sumatera Utara,18,54,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Bisnis Indonesia,Institut,Baik,3/4/2019,1,Deli Serdang,Sumatera Utara,70,2789,Small,Unranked,Unranked,Unranked ,No
Politeknik Wilmar Bisnis Indonesia,Politeknik,Baik,8/27/2015,1,Deli Serdang,Sumatera Utara,36,890,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Sinar Husni,Sekolah,Tidak Terakreditasi,8/21/2003,1,Deli Serdang,Sumatera Utara,24,479,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Amir Hamzah,Universitas,Baik,10/19/1981,1,Deli Serdang,Sumatera Utara,82,1664,Small,Unranked,Unranked,Unranked ,No
Universitas Haji Sumatera Utara,Universitas,Baik Sekali,3/12/2020,1,Deli Serdang,Sumatera Utara,79,1000,Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Harapan Keluarga,Akademi,Baik Sekali,9/4/2007,1,Gunungsitoli,Sumatera Utara,21,298,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Nias,Universitas,Baik,9/22/2021,1,Gunungsitoli,Sumatera Utara,116,4570,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Kesehatan Baru,Sekolah,Baik,10/10/2019,1,Humbang Hasudutan,Sumatera Utara,20,149,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Arta Kabanjahe,Sekolah,Tidak Terakreditasi,7/7/2020,1,Karo,Sumatera Utara,26,285,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Quality Berastagi,Universitas,Tidak Terakreditasi,5/8/2017,1,Karo,Sumatera Utara,63,1351,Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Gita Matura Abadi Kisaran,Akademi,Baik,5/15/1994,1,Kisaran,Sumatera Utara,5,54,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Asahan,Sekolah,Baik,12/16/1992,1,Kisaran,Sumatera Utara,22,707,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Muhammadiyah Kisaran,Sekolah,Baik Sekali,7/17/1996,1,Kisaran,Sumatera Utara,10,343,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan As Syifa,Sekolah,Baik Sekali,8/29/2018,1,Kisaran,Sumatera Utara,34,785,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Royal,Sekolah,Baik Sekali,9/8/2011,1,Kisaran,Sumatera Utara,84,3002,Small,Unranked,Unranked,Unranked ,No
Universitas Asahan,Universitas,Baik Sekali,8/17/1985,1,Kisaran,Sumatera Utara,133,5330,Small Medium,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Kesehatan Ika Bina ,Institut,Tidak Terakreditasi,7/13/2022,1,Labuhan Batu,Sumatera Utara,14,101,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Mulia Darma,Sekolah,Tidak Terakreditasi,3/7/2023,1,Labuhan Batu,Sumatera Utara,19,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Langkat,Akademi,Baik,8/5/2002,1,Langkat,Sumatera Utara,12,45,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Maksum,Sekolah,Baik,2/1/2018,1,Langkat,Sumatera Utara,55,2261,Small,Unranked,Unranked,Unranked ,No
Universitas Putra Abadi Langkat,Universitas,Baik,6/8/2022,1,Langkat,Sumatera Utara,38,662,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Armina Centre Panyabungan,Akademi,Tidak Terakreditasi,5/24/2006,1,Mandailing Natal,Sumatera Utara,15,58,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Madina Husada,Akademi,Baik,6/1/2007,1,Mandailing Natal,Sumatera Utara,5,76,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Namira Madina,Sekolah,Baik,4/11/2018,1,Mandailing Natal,Sumatera Utara,18,122,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Akuntansi YPK Medan,Akademi,Baik,12/1/1969,1,Medan,Sumatera Utara,5,56,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Informatika Dan Komputer Medicom,Akademi,Baik,1/17/2003,1,Medan,Sumatera Utara,117,687,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Nusantara 2000,Akademi,Tidak Terakreditasi,9/28/2001,1,Medan,Sumatera Utara,8,79,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Sari Husada,Akademi,Tidak Terakreditasi,6/25/2007,1,Medan,Sumatera Utara,10,15,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Columbia Asia,Akademi,Tidak Terakreditasi,6/13/2001,1,Medan,Sumatera Utara,8,19,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Kesdam I/Bukit Barisan Medan,Akademi,Baik Sekali,12/23/2010,1,Medan,Sumatera Utara,15,187,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Sari Husada,Akademi,Tidak Terakreditasi,1/31/2020,1,Medan,Sumatera Utara,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Wirahusada Medan,Akademi,Baik,1/3/2012,1,Medan,Sumatera Utara,10,125,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Itmi,Akademi,Tidak Terakreditasi,12/12/2000,1,Medan,Sumatera Utara,4,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Universal,Akademi,Baik,9/14/2000,1,Medan,Sumatera Utara,28,209,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Widya Loka Medan,Akademi,Tidak Terakreditasi,8/23/1999,1,Medan,Sumatera Utara,14,287,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Maritim Belawan,Akademi,Baik,4/19/1992,1,Medan,Sumatera Utara,16,220,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pariwisata dan Perhotelan Darma Agung,Akademi,Baik Sekali,12/13/1962,1,Medan,Sumatera Utara,17,212,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pariwisata Medan Hotel School,Akademi,Tidak Terakreditasi,8/9/2004,1,Medan,Sumatera Utara,9,53,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pariwisata Nusantara Medan,Akademi,Tidak Terakreditasi,9/21/2000,1,Medan,Sumatera Utara,8,95,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Pendidikan Kesehatan Talitakum,Akademi,Tidak Terakreditasi,9/11/2014,1,Medan,Sumatera Utara,12,44,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Perniagaan dan Perusahaan APIPSU Medan,Akademi,Tidak Terakreditasi,10/10/1956,1,Medan,Sumatera Utara,11,22,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknik Indonesia Cut Meutia,Akademi,Baik,7/1/1987,1,Medan,Sumatera Utara,14,194,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknologi Industri Immanuel,Akademi,Baik,5/6/1998,1,Medan,Sumatera Utara,14,178,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Teknologi Radiodiagnostik Dan Radioterapi Yayasan Amal Bhakti Medan,Akademi,Tidak Terakreditasi,11/9/2012,1,Medan,Sumatera Utara,15,315,Extra Small,Unranked,Unranked,Unranked ,No
Institut Bisnis dan Komputer Indonesia,Institut,Baik,6/22/2022,1,Medan,Sumatera Utara,25,512,Extra Small,Unranked,Unranked,Unranked ,No
Institut Bisnis Informasi Teknologi dan Bisnis,Institut,Baik,12/13/2017,1,Medan,Sumatera Utara,52,808,Extra Small,Unranked,Unranked,Unranked ,No
Institut Kesehatan Helvetia,Institut,Baik Sekali,7/28/2016,1,Medan,Sumatera Utara,210,4480,Small,Unranked,Unranked,Unranked ,No
Institut Kesehatan Sumatera Utara,Institut,Baik,6/10/2019,1,Medan,Sumatera Utara,49,595,Extra Small,Unranked,Unranked,Unranked ,No
Institut Sains dan Teknologi Td Pardede,Institut,Baik,9/22/1987,1,Medan,Sumatera Utara,59,551,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Bisnis Carnegie,Institut,Tidak Terakreditasi,2/17/2022,1,Medan,Sumatera Utara,9,7,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Sawit Indonesia,Institut,Baik Sekali,12/15/2021,1,Medan,Sumatera Utara,60,1681,Small,Unranked,Unranked,Unranked ,No
